"created_at","text","Label1","Label2"
"Fri Nov 13 23:43:15 +0000 2015","On Sunday 11/15/2016 watch your shows with unlimited video streaming only @TMobile! #UncarrierX #BingeOn #NErules https://t.co/ryNNNOCzKz",0,0
"Sat Nov 14 00:31:39 +0000 2015","@comcastcares my asshole hurts from how hard @comcast is raping me right now. 3 weeks with no service and rather than fixing it's worse",1,1
"Fri Nov 13 20:25:33 +0000 2015","@ATTCares sure fix the rediculous throttling I get on my unlimited plan. It's unusable. Download is 0.12 and upload is .002. Unusable!!!",1,1
"Fri Nov 13 18:50:35 +0000 2015","@TommyDeweySays I love Casual!! Alex is ??? #hulu #casual",0,0
"Fri Nov 13 21:29:54 +0000 2015","RT @FrancesCatanio: At LAST! cc: my entire family. https://t.co/S0CqvtDEBT",0,0
"Sat Nov 14 00:30:26 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/lm20XHlret",0,0
"Sat Nov 14 01:07:32 +0000 2015","Had to call @ATT to cancel again and ensure they would not return. The install disrupted our DirectTv service. Oh yea - our lawn is f-ed up",1,1
"Fri Nov 13 21:08:35 +0000 2015","Check out @ATT Mobility's CEO talk about the sci-fi future of wearables via @FortuneMagazine https://t.co/p3RZiMwfoO",0,0
"Fri Nov 13 22:17:16 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/b27JRuL7uC",0,0
"Fri Nov 13 20:19:38 +0000 2015","RT @MrPlutofinest: Can I leave with a new phone today @ATT",0,0
"Sat Nov 14 00:05:38 +0000 2015","Verizon Resurrects Activation Fee For Mobile Devices https://t.co/fzSFueKO1F #wirefly #verizon #verizonwireless #activationfees #mobile",0,0
"Sat Nov 14 00:25:09 +0000 2015","Watch @Brittanysnow #cjwilson @ijustine @LilJon @SamRichardson @Zedd @DexterFowler #UncarrierX #TMobile #EventRecap https://t.co/pBD6qLRS7Q",0,0
"Fri Nov 13 20:35:09 +0000 2015","I hate @ATT Y'all can give me a new phone, y'all just dont want to. It's all good theaux. Fuck y'all and this stupid ass contract.",1,1
"Fri Nov 13 19:46:18 +0000 2015","#Verizon to charge new $20 activation fee https://t.co/BJzscerJGW",0,0
"Fri Nov 13 23:11:46 +0000 2015","It's #friday !!!!!! Yes #hulu #relax after a productive work week",0,0
"Fri Nov 13 19:38:23 +0000 2015","RT @JohnBert07: @TheZaneSimon Once its complete you need to do a piece on the new gym. #ATT!  https://t.co/izdDnmwBmh",0,0
"Fri Nov 13 20:33:02 +0000 2015","RT @VerizonCareers: #Verizon’s at the @SHPE! Come @ 3-5pm in BCC Hall CDE Booth 2319 &amp; later @ the VZ Hospitality Suite - 7:30-9:30pm in BC…",0,0
"Fri Nov 13 20:33:08 +0000 2015","@RobynsWorld That's what I do with @Dish #VZWBuzz",0,0
"Fri Nov 13 21:58:31 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Sat Nov 14 01:14:15 +0000 2015","RT @HCNewton: So, @dish_answers why didn't I get prior notice when you rescheduled my DSL activation? (or ANY notice?)",0,1
"Fri Nov 13 18:34:51 +0000 2015","I’ve been a fairly happy customer of @comcast until they decided to pull the “60 days notice” for cancellation of my account. #neveragain",1,1
"Fri Nov 13 22:04:34 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 22:40:24 +0000 2015","AT&amp;T College Football Move Strongest Of The Strong Commercial https://t.co/KBWdUJD63D • #ATT #HerschelWalker #BoJack https://t.co/PDk0PWPevP",0,0
"Fri Nov 13 20:43:21 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/OkvCd9hSxB",0,0
"Fri Nov 13 23:52:27 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/rP5WxoQsKb",0,0
"Fri Nov 13 23:41:24 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 19:10:34 +0000 2015","New post: Junk AT&amp;T refurbished iPhone 5 https://t.co/QtXnVQ6NPq #att #iphone #junk #refurbished",0,0
"Fri Nov 13 23:15:29 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 21:15:01 +0000 2015","Paying #ATT #Uverse for 18 meg download speed. Currently receiving 1.58 megs. #ATTSUCKS #UverseSUCKS https://t.co/05XFsPYVFa",1,1
"Fri Nov 13 19:31:06 +0000 2015","#Verizon #Tablet – Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE Support, Android 5.1 Lollipop… https://t.co/y2WPNVTH11 #Android",0,0
"Fri Nov 13 21:01:46 +0000 2015","#foodphoto #food #chef #dish #foodeat #foodinlove #cook Spice Cookie Sandwiches with Chocolate FillingsourceMore ca… https://t.co/Ih9vOo8Ye4",0,0
"Fri Nov 13 22:41:21 +0000 2015","My self-install kit still hasn't arrived and I can't get ahold of customer service. Help??? @comcastcares",1,1
"Fri Nov 13 18:08:55 +0000 2015",".#Hulu stake for Time Warner? https://t.co/luJ2MgbaS2",0,0
"Sat Nov 14 00:25:24 +0000 2015","@dish Oh how I miss you and the Hopper! If I could come back, I would!",0,0
"Fri Nov 13 23:31:13 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/PM33PhddB9",0,0
"Sat Nov 14 01:31:22 +0000 2015","Bills QB tytaylor at the @raptors game #BillsMafia #RTZ #Raptors #Tmobile @ Air Canada Centre https://t.co/4FTpVJB0jN",0,0
"Fri Nov 13 18:33:39 +0000 2015","@JohnLegere @verizon @DavidGoldmanCNN better than the 35.00 activation fee, not really.",0,0
"Fri Nov 13 22:14:47 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Sat Nov 14 00:46:19 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 21:01:05 +0000 2015","Thankful for @Comcast support for here and across the @CityYear network! https://t.co/CnVPMm7D42",0,0
"Fri Nov 13 21:52:01 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Sat Nov 14 00:39:30 +0000 2015","@ATT @ATTCares I cashed ATT told them I drop calls 3-4 times a day. Their answer. Buy a micro-cell. Really? I spend $$ to fix your problem?",1,0
"Sat Nov 14 00:48:59 +0000 2015","RT @TreMelvin: @VZWSupport me sneaking into verizon headquarters to lower my bill https://t.co/Pnn5mCbTmz",0,0
"Fri Nov 13 19:25:54 +0000 2015","@VZWSupport why is it I ask various employs if there'll be a charge on my plan, get told no, and a day later there's an increase on my bill.",1,1
"Fri Nov 13 22:08:38 +0000 2015","@ATTCares sorry fan, can't get none internet connection",1,1
"Sat Nov 14 01:58:01 +0000 2015","Thank you @TMobileHelp for fixing my issue earlier. @JohnLegere A+ support team!",0,0
"Fri Nov 13 22:44:58 +0000 2015","@DIRECTV @VZWSupport @verizon @VerizonSupport 4.5 HRS,PHONE  #INCOMPETENT #VERIZON  VERIZON #HUNG #UP AM TEXTED PM?#NO GENIE. #COMCAST #WIFI",0,0
"Fri Nov 13 22:08:23 +0000 2015","Did not know @hulu had my favorite tv show! ? https://t.co/Ys0RYZFrgJ",0,0
"Fri Nov 13 18:52:56 +0000 2015","RT @JohnLegere: .@Verizon follows our lead to get rid of 2yr service contracts but then F*&amp;^s it up with an activation fee. COME ON! https:…",1,1
"Fri Nov 13 19:55:57 +0000 2015","I'm watching my favorite TV shows on #hulu. Join me today and get 2 weeks free! https://t.co/e46mawYez3",0,0
"Fri Nov 13 21:28:46 +0000 2015","@TMobileHelp cool. Thanx for the quick response! ?",0,0
"Fri Nov 13 19:01:29 +0000 2015","@TMobileHelp just looking at my account and it tells me owe $1000. Gotta discuss this ASAP because I don't believe this is true.",1,1
"Fri Nov 13 23:00:53 +0000 2015","@gogogadgetguy @ATTCares @ATT did they up your data",0,0
"Fri Nov 13 18:08:32 +0000 2015","RT @TheAMAs: Tap ""Where Are Ü Now"" to vote @justinbieber @diplo &amp; @skrillex for #AMAs Collab of the Year Un-leashed by @TMobile. https://t.…",0,0
"Sat Nov 14 01:20:42 +0000 2015","No lie! I just spent an hr arguing how the ""quote"" given to me doesn't match mybill for the 3rd time @Uverse #cancel https://t.co/Ot7Fhf0Mwe",1,1
"Sat Nov 14 01:38:25 +0000 2015","@TMobileHelp @TMobile say they will call you. Waiting more than 30 minutes now. More lies #tmobilesucks",1,0
"Fri Nov 13 19:36:16 +0000 2015","#Verizon #Tablet – Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE Support, Android 5.1 Lollipop… https://t.co/mRWz0PqK8g #Android",0,0
"Fri Nov 13 22:36:16 +0000 2015","AT&amp;T; #Retail #Sales Consultant Silicon Valley Area CA 1000 Sign on Bonus in #PaloAlto at #ATT #job https://t.co/L5n4WmoETW",0,0
"Sat Nov 14 00:12:02 +0000 2015","RT @Academychs: Academy Juniors are dressed for success at the #comcast job shadow in Livermore. https://t.co/3RjLsYE4il",0,0
"Fri Nov 13 19:37:22 +0000 2015","RT @Katie_King4: There's not a company I hate more than @comcast worst customer service ?",1,1
"Fri Nov 13 22:47:01 +0000 2015","@TMobileHelp problem solved!  Looking forward to all the data, music and video a family can handle!!!",0,0
"Fri Nov 13 22:30:54 +0000 2015","no internet TV phone $15 credit for hour without service. an outage, no info, no time for repair maybe 24hrs. no credit more #ATTCARES",1,1
"Fri Nov 13 23:30:58 +0000 2015","RT @MarisaMendez: You have the absolute worst service of any company I have EVER dealt with. I can't believe how incompetent your employees…",1,1
"Fri Nov 13 23:10:09 +0000 2015","@TMobileHelp I tweeted first then they told me I WILL NOT loose my employer discount so I called 611 but they told me I WILL LOOSE IT",1,1
"Sat Nov 14 01:57:20 +0000 2015","""I don't have friends... I have only slaves!"" Rewatching #DetroitMetalCity on #hulu, I can't even believe it's available on here! ???",0,0
"Fri Nov 13 22:40:07 +0000 2015","Watch @Brittanysnow #cjwilson @ijustine @LilJon @SamRichardson @Zedd @DexterFowler #UncarrierX #TMobile #EventRecap https://t.co/sh1AmuwFnH",0,0
"Fri Nov 13 22:29:51 +0000 2015","@VerizonSupport this is a home system.",0,0
"Fri Nov 13 18:53:05 +0000 2015","@TheAMAs @TMobile @wizkhalifa @charlieputh    we need Jesus",0,0
"Fri Nov 13 19:32:08 +0000 2015","#Verizon #Tablet – Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE Support, Android 5.1 Lollipop… https://t.co/QBwX8m4mqr #Android",0,0
"Fri Nov 13 19:00:58 +0000 2015","@Comcast is doing some great work to bridge #digitaldivide thru its #InternetEssentials program for low-income families. @DLCohenComcast",0,0
"Fri Nov 13 22:17:20 +0000 2015","So I just heard someone yell ""I NEED MORE DATA"" it made me so glad I have #tmobile they have #unlimited #data",0,0
"Sat Nov 14 01:38:33 +0000 2015","What the hell @verizon!? If the Lumia 950 and 950 XL won’t work on #Verizon, that’s not Microsoft’s fault https://t.co/zrDlpoSxdg #lumina950",1,0
"Fri Nov 13 20:11:36 +0000 2015","@VZWSupport several times, also reset the SIM, toggled wifi, mobile data and airplane mode a few times. Doesn't work reliably inside or out.",1,1
"Fri Nov 13 18:52:49 +0000 2015","RT @ItsSkylerShaye: Rocking out to @zedd - Thank you @tmobile for a great night! @nathaliaramos73 #uncarrierx https://t.co/QJMNTMJEAP",0,0
"Fri Nov 13 21:43:12 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 20:06:46 +0000 2015","@26Point_2Miles @comcastcares yeah that's what I'm starting to think. Really just need it for the internet, but there are ways around that.",0,0
"Fri Nov 13 23:03:19 +0000 2015","@ATTCares Showed up after 4, left without saying anything, &amp; still no connection. This gets worse. You're a shambles!!",1,1
"Fri Nov 13 21:37:24 +0000 2015","RT @kclipp11: @ALCATEL1TOUCH dropping knowledge to my new hire class #GDCVA #MLC #13thClass #BeMagenta @TMobile @tglover187 https://t.co/nZ…",0,0
"Fri Nov 13 19:44:45 +0000 2015","RT @_NewsBlog: Carriers vs Uncarrier- US #Wireless War N°2 https://t.co/c47N407dDJ #mobile #TMobile #Sprint #Verizon #ATT https://t.co/oQsf…",0,0
"Fri Nov 13 18:55:26 +0000 2015","@Tigerstown_xda @jasondfry @JohnLegere @verizon No one gets true Unlimited. Look at the fine print - after 23GB you get throttled.",1,1
"Fri Nov 13 21:50:08 +0000 2015","@ATTCares Would be nice to help me get my iMessage working . It has worked in 2weeks and I haven't even been with y'all for a month",0,1
"Sat Nov 14 01:30:16 +0000 2015","After being frustrated I have to say how great @VZWSupport is! They really provided excellent customer service today! Thanks #Verizon",0,0
"Fri Nov 13 19:43:04 +0000 2015","US largest cable-co @comcast seen offering service like #GoogleF¡ https://t.co/G0b9UuczCn",0,0
"Fri Nov 13 21:07:51 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/tPzjKWAoym",0,0
"Fri Nov 13 18:09:47 +0000 2015","RT @tragic_heroine: @AyeDeeJaye @ATTCares you giving her a phone fam? What can you do for me bc sprint tripping with the monthly cost for t…",0,0
"Sat Nov 14 00:29:39 +0000 2015","@TMobile why is coverage in Seattle so terrible? I like the customer service but almost never have 4G LTE. What is being done about it?",1,1
"Sat Nov 14 01:57:42 +0000 2015","#Verizon #Tablet – Verizon Launches Ellipsis 10 Tablet: Quad-Core Chip, LTE… https://t.co/Nup0Yy5JLs #Android https://t.co/aBO9Jd66NV",0,0
"Fri Nov 13 23:59:02 +0000 2015","Why's my phone saying no service? @ATT",1,1
"Fri Nov 13 22:03:09 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 22:37:45 +0000 2015","@VZWSupport - FOLLOWERS- I spent all day messaging these idiots &amp; they still screwed everything up.",1,1
"Sat Nov 14 01:53:39 +0000 2015","The only reason I've been baring with @VerizonSupport skyrocketing prices for years is the reliable coverage. Now it's gone &amp; I'm switching",1,1
"Fri Nov 13 20:14:29 +0000 2015","RT @Sanja_VJ: @ssssunnnyyyy @Bluebellishome @TVtibi @hulu @netflix @Netflixhelps @hulu_support @YahooTV @Yahoo @YahooScreen #SaveHartOfDixi…",0,0
"Fri Nov 13 18:51:48 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/acC8yUrDjQ",0,0
"Fri Nov 13 22:54:47 +0000 2015","@BobbyShaftoe314 @ATT It is. I made two more calls to @att today and got no-where. This is fraud no doubt about it",1,1
"Fri Nov 13 22:44:19 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/UJfImRNTsD",0,0
"Fri Nov 13 22:05:15 +0000 2015","#Herbs and #Spices r the #essence of a #dish: https://t.co/dhlCx94ghl #weightloss #healthyeating #gmofree https://t.co/VHj4UVwycE",0,0
"Fri Nov 13 18:47:59 +0000 2015","Going on contract with @ATT was probably the stupidest mistake of my life. I regret this shit every fucking day",1,1
"Sat Nov 14 01:53:12 +0000 2015","@Comcast @Comcastcares You never seem to surprise me. A DM from 2 days ago, you finally get back to me to try and help? #ComcastDoesntCare",1,1
"Fri Nov 13 22:26:55 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/DfgUFTgIMa",0,0
"Fri Nov 13 19:05:49 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/QFjfcMAB7b",0,0
"Fri Nov 13 22:55:40 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 20:38:01 +0000 2015","Talked to someone new the other day. Different person, different answer. I'll believe it when I see the check @ATT @ATTCares #WaitingOnATT",0,0
"Fri Nov 13 22:03:15 +0000 2015","@TMobile who do I call to get my service fixed bc NONE of my texts are sending.",1,1
"Fri Nov 13 19:40:49 +0000 2015","@ATTCares $20 more? Or you mean $240 more a year? That's $240 I'd rather spend on something else!",1,1
"Fri Nov 13 18:15:41 +0000 2015","@superscientific @CaseyNeistat @SamsungMobileUS @TMobile no tmobile is black and white only. The edge plus is available in gold",0,0
"Fri Nov 13 20:16:55 +0000 2015","RT @geekbabe: Remember, ALL are welcome at #VZWBuzz chats, no need to be an @verizon customer",0,0
"Fri Nov 13 20:23:33 +0000 2015","@ATTCares If you care so much, get a handle on your network. https://t.co/u7Wqswbd7z",1,0
"Fri Nov 13 21:27:45 +0000 2015","Had my mom take my phone to Verizon to get my glass screen protector put on so it wouldn't have bubbles... It has bubbles? @verizon",1,1
"Fri Nov 13 21:43:54 +0000 2015","RT @alexysgabrielle: How to get a date with your shatterproof Droid ? @verizon #shatterproof #ad  https://t.co/H6c6YDmF3p",1,0
"Fri Nov 13 20:00:04 +0000 2015","The @Giants aim to once again take down an undefeated @Patriots team, presented by @Verizon https://t.co/Mk36rS4WwE",0,0
"Fri Nov 13 21:43:27 +0000 2015","@VZWSupport More than frustrating is disheartening. We have a 2 year old to provide shelter for. I'm authorized to speak on his behalf.",1,0
"Fri Nov 13 18:08:39 +0000 2015","RT @KatiieFiischer: @icedtori @_danmast @eriin_x0x @pinarobread_ @ATTCares AND THEY CHARGE YOY LIKE UP THE ASS FOR A NEW PHONE TOO VERIZONS…",1,1
"Fri Nov 13 22:58:08 +0000 2015","@ATTCares yes me and a wonderful rep at a corporate tried to take care of things. Just very unhappy.",1,1
"Sat Nov 14 00:37:10 +0000 2015","@TMobile careful... don't come off as ignoring Paris",0,0
"Fri Nov 13 19:52:45 +0000 2015","Turned on @midnight from Wednesday 11/11 (on #hulu) and was happy to see @Mike_Eagle playing. You funny, Mike.",0,0
"Sat Nov 14 01:57:44 +0000 2015","RT https://t.co/HVsw3NalRL https://t.co/lzgadr0kpM #Herbs and #Spices r the #essence of a #dish: … https://t.co/yENVNgLVsi",0,0
"Fri Nov 13 18:24:05 +0000 2015","RT @iFoodWorld: #foodphoto #food #chef #dish #foodeat #foodinlove #cook Crock pot pecan pie https://t.co/uOQQj9UHYg",0,0
"Fri Nov 13 22:52:29 +0000 2015","RT @n4srn: @comcastcares why dont you just take out the middle man and just come to my house and shoot me in the fucking head",1,1
"Fri Nov 13 18:41:03 +0000 2015","Hi Paige Thalia : paigethalia, Do u wanna get FREE iPh0ne 6? Simply check my bi0. Thx https://t.co/aGR59UNcfm",0,0
"Fri Nov 13 21:10:35 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/5zGWbByPQl",0,0
"Fri Nov 13 21:35:23 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 20:20:36 +0000 2015","RT @camfurr12: My boys are the ping pong state champs! #ATT @The_Rad_Brad @jamostennis7  @graysoncash37 @zhood3 @Cole_Underwood7",0,0
"Fri Nov 13 22:42:05 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Sat Nov 14 00:05:40 +0000 2015","Trying to figure out the best cell phone plan is tiring. Why don't you come to me and tell me the best deal? @ATT @TMobileHelp @VerizonDeals",1,1
"Sat Nov 14 01:28:36 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/kLXYfSFWzF",0,0
"Fri Nov 13 21:36:45 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 18:16:21 +0000 2015","RT @TheAMAs: Tap ""Where Are Ü Now"" to vote @justinbieber @diplo &amp; @skrillex for #AMAs Collab of the Year Un-leashed by @TMobile. https://t.…",0,0
"Fri Nov 13 19:05:48 +0000 2015","Should just terminate my contract with @sprint @sprintcare . Switch over to @verizon @VZWSupport They probably actually care about customers",1,0
"Fri Nov 13 21:35:41 +0000 2015","@comcast if u guys aren't the worst internet in the fucking world id rather have dial up.",1,1
"Fri Nov 13 22:29:00 +0000 2015","Just got real free cell service with #ringplus https://t.co/9bPpNTmnrX Thanks @ringplusmobile and @CNET  - sorry #TMobile #Verizon #ATT",0,0
"Fri Nov 13 20:57:12 +0000 2015","It took five and a half hours on hold and 87% of my phone battery, but I finally got through to @Comcast!!!!",1,0
"Fri Nov 13 22:56:45 +0000 2015","@comcastcares QUIT DMing HER TO RESCHEDULE. QUIT GIVING HER MGR NUMBERS WHO NEVER PICK UP AND HAVE FULL VOICEMAILS. JUST. SHOW. UP.",1,1
"Fri Nov 13 21:12:52 +0000 2015","RT @meowth900: Been watching so much episodes of Rugrats on @hulu",0,0
"Sat Nov 14 00:50:47 +0000 2015","Issac Duckett on Periscope: ""SlickChix signs Deal with #TMobile BIG Thanks to John Legere"" https://t.co/h1tmEVgr8T",0,0
"Fri Nov 13 21:37:13 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 21:40:41 +0000 2015","RT @TheAMAs: Tap ""FourFiveSeconds"" to vote @rihanna+@kanyewest+@PaulMcCartney for #AMAs Collab of the Year Un-leashed by @TMobile https://t…",0,0
"Sat Nov 14 00:06:48 +0000 2015","They offer a #customerexperience you won't forget @ArvestBank @henhousemarket @nothingbundt @Nordstrom @WholeFoods @VZWSupport #FF Thank you",0,0
"Fri Nov 13 21:32:19 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 21:37:16 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 22:50:07 +0000 2015","Watch @Brittanysnow #cjwilson @ijustine @LilJon @SamRichardson @Zedd @DexterFowler #UncarrierX #TMobile #EventRecap https://t.co/8ErQmHSJaJ",0,0
"Fri Nov 13 20:00:10 +0000 2015","5 Problems That #Parents With #SmartHome Technology Don’t Have &gt; https://t.co/8BghCsSzRU via @ATT https://t.co/Qx82HcmpWd",0,0
"Fri Nov 13 21:47:39 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 21:43:08 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 22:28:42 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 23:42:43 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 22:12:33 +0000 2015","@ATTCares It's fine. I see how many ppl are fleeing to @TMobile &amp; I bet money is tight. Good luck to y'all. @JohnLegere treats me right.",1,1
"Fri Nov 13 22:00:21 +0000 2015","New @TMobile Backstage: Free download of @dj_torio ft @Polina #EverAfter at https://t.co/dErCoWYleZ #MusicFreedom https://t.co/NvbyJ5G4aJ",0,0
"Fri Nov 13 19:25:47 +0000 2015","@IanJamesPoulter @ATT hey Ian, join the maddening crowd!",0,0
"Fri Nov 13 21:46:55 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 20:38:51 +0000 2015","@TMobileHelp question. If I add 3 lines and choose two with 6gb and 1 with unlimited data is that family match price or regular?",0,0
"Fri Nov 13 21:54:57 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Sat Nov 14 00:14:22 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Fri Nov 13 21:14:23 +0000 2015","#Pearly #Grey Tone #Enamel w/Pink, Red &amp; Green #Floral #Brass &amp; Enamel #Trinket #Dresser Pin #Dish Lid Made  #India https://t.co/OyarueMC67",0,0
"Fri Nov 13 20:50:24 +0000 2015","RT @da4fail: Hey @cold_cut_manga, we recommend @TMobile for unlimited video streaming!  We know you love watching #MyLittlePony. https://t.…",0,0
"Fri Nov 13 21:46:35 +0000 2015","RT @kcampbel46: @TMobile VB BLVD back in business #GDC #VB #EVO #biggerandbetter https://t.co/rJRmCe7JDV",0,0
"Sat Nov 14 00:17:10 +0000 2015","I just entered to win the new #HTCOneA9 @ATT",0,0
"Sat Nov 14 00:34:17 +0000 2015","Dear @ATTCares, if you guys do guys don't fix my bill... I will seek legal action!",1,1
"Fri Nov 13 19:03:28 +0000 2015","Don't forget to stop by #TriCWest North Galleria for the @ATT @ItCanWait Driving Simulator today https://t.co/T4MbyllhEi",0,0
"Fri Nov 13 18:23:17 +0000 2015","RT @EdwardTufte: #Verizon resurrects activation fees because you're not already giving it enough money https://t.co/m9RayGyj7w via @verge",0,1
"Fri Nov 13 20:44:30 +0000 2015","Can somebody Thug Life meme this? I LOVED how pumped up he got on that one!!! #TMobile #BigWin #BillsMafia https://t.co/8wMFuAosWC",0,0
"Fri Nov 13 23:03:11 +0000 2015","I love @DISH, and you will too!  Use code APP000196155 when you sign up and save $50! Visit https://t.co/qUF5sXcQRe to learn more",0,0
"Fri Nov 13 20:50:41 +0000 2015","@verizon your cell coverage makes every other day for me, so now all I need is for y'all to #MakeMyGameDay #GoGators https://t.co/7lMWMajCMT",0,0
"Fri Nov 13 20:25:21 +0000 2015","RT : StcTsdl: RT iFoodWorld: #foodphoto #food #chef #dish #foodeat #foodinlove #cook Bacon cheddar biscuits https://t.co/Rlj1wSFNbS",0,0
"Fri Nov 13 22:42:20 +0000 2015","RT @JohnLegere: Yep!  @Samsung #GearVR is coming to @TMobile!! https://t.co/j7wLUm3QRQ",0,0
"Fri Nov 13 21:14:22 +0000 2015","I just checked in @ATT with #mPLACES  Download today!  https://t.co/PnNKr72TFi",0,0
"Sat Nov 14 01:25:30 +0000 2015","@comcastcares after few phone calls already got it worked, thanks :)",0,0
"Fri Nov 13 22:55:04 +0000 2015","S/O To @comcast @comcastcares  For Having Me On The Phone For 30Mins And Still Didn't Pick Worst Customer Service ??",1,1
"Fri Nov 13 22:03:09 +0000 2015","@sprint has the data I want @verizon  has the network are I want @TMobile  has the speeds I want @ATT  has the exclusive phones I want :(",0,0
